Time Published,Overall Sentiment Score,Overall Sentiment Label,Ticker Sentiment
20230530T121700,0.236745,Somewhat-Bullish,"[{'ticker': 'JNJ', 'relevance_score': '0.294682', 'ticker_sentiment_score': '0.310661', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230530T121700,0.239441,Somewhat-Bullish,"[{'ticker': 'JNJ', 'relevance_score': '0.210274', 'ticker_sentiment_score': '0.225926', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230530T120700,0.170734,Somewhat-Bullish,"[{'ticker': 'ZBH', 'relevance_score': '0.221616', 'ticker_sentiment_score': '0.094392', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HOLX', 'relevance_score': '0.17813', 'ticker_sentiment_score': '0.004317', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MDXG', 'relevance_score': '0.044885', 'ticker_sentiment_score': '0.047625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNN', 'relevance_score': '0.044885', 'ticker_sentiment_score': '0.047625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SYK', 'relevance_score': '0.044885', 'ticker_sentiment_score': '0.047625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.044885', 'ticker_sentiment_score': '0.047625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.044885', 'ticker_sentiment_score': '0.047625', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IART', 'relevance_score': '0.089629', 'ticker_sentiment_score': '0.165746', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PEN', 'relevance_score': '0.13409', 'ticker_sentiment_score': '0.088106', 'ticker_sentiment_label': 'Neutral'}]"
20230530T102006,0.249472,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.061949', 'ticker_sentiment_score': '0.117033', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MORN', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.195615', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'VZ', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'XOM', 'relevance_score': '0.123526', 'ticker_sentiment_score': '0.068619', 'ticker_sentiment_label': 'Neutral'}]"
20230530T101500,0.29684,Somewhat-Bullish,"[{'ticker': 'GEHC', 'relevance_score': '0.157483', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ISRG', 'relevance_score': '0.40375', 'ticker_sentiment_score': '0.423087', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'INMD', 'relevance_score': '0.40375', 'ticker_sentiment_score': '0.256965', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.40375', 'ticker_sentiment_score': '0.274014', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230530T050000,0.235088,Somewhat-Bullish,"[{'ticker': 'IDRSF', 'relevance_score': '0.660868', 'ticker_sentiment_score': '0.602969', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.058615', 'ticker_sentiment_score': '0.030025', 'ticker_sentiment_label': 'Neutral'}]"
20230529T151500,0.046836,Neutral,"[{'ticker': 'CARA', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.099264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'ABT', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.099264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BAYZF', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.099264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.046953', 'ticker_sentiment_score': '0.122326', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMGN', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.099264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.046953', 'ticker_sentiment_score': '0.130099', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BMY', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.099264', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:UZS', 'relevance_score': '0.023487', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230529T150000,0.287418,Somewhat-Bullish,"[{'ticker': 'ALC', 'relevance_score': '0.044801', 'ticker_sentiment_score': '0.126747', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HOCPF', 'relevance_score': '0.02241', 'ticker_sentiment_score': '0.143154', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.02241', 'ticker_sentiment_score': '0.122751', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.044801', 'ticker_sentiment_score': '0.135743', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'STAA', 'relevance_score': '0.02241', 'ticker_sentiment_score': '0.143154', 'ticker_sentiment_label': 'Neutral'}]"
20230529T144500,0.243632,Somewhat-Bullish,"[{'ticker': 'BSX', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.039405', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TRUMF', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.039405', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BDX', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.121535', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CAH', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.039405', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MDT', 'relevance_score': '0.041216', 'ticker_sentiment_score': '0.051807', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MCRPF', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.039405', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.121535', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:UZS', 'relevance_score': '0.020615', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230529T143000,0.219654,Somewhat-Bullish,"[{'ticker': 'ZBH', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.037784', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNN', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.037784', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SYK', 'relevance_score': '0.042085', 'ticker_sentiment_score': '0.050023', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSSMY', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.037784', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.042085', 'ticker_sentiment_score': '0.122174', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'IART', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.068648', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MDT', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.037784', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CNMD', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.037784', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.02105', 'ticker_sentiment_score': '0.121847', 'ticker_sentiment_label': 'Neutral'}]"
20230529T130011,0.226713,Somewhat-Bullish,"[{'ticker': 'JNJ', 'relevance_score': '0.482078', 'ticker_sentiment_score': '0.107154', 'ticker_sentiment_label': 'Neutral'}]"
20230529T110058,0.195308,Somewhat-Bullish,"[{'ticker': 'JNJ', 'relevance_score': '0.016738', 'ticker_sentiment_score': '-0.119947', 'ticker_sentiment_label': 'Neutral'}]"
20230529T102600,0.119358,Neutral,"[{'ticker': 'AZN', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.074359', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.070656', 'ticker_sentiment_score': '0.127303', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SKXJF', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.074359', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SGEN', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'DSKYF', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.074359', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.070656', 'ticker_sentiment_score': '0.123983', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BMY', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.074359', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SNY', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.074359', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'FOREX:UZS', 'relevance_score': '0.023579', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230529T102008,0.304491,Somewhat-Bullish,"[{'ticker': 'MSFT', 'relevance_score': '0.114137', 'ticker_sentiment_score': '0.066424', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.114137', 'ticker_sentiment_score': '0.066424', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MORN', 'relevance_score': '0.057215', 'ticker_sentiment_score': '0.186069', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'WT', 'relevance_score': '0.333257', 'ticker_sentiment_score': '0.346328', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.114137', 'ticker_sentiment_score': '0.066424', 'ticker_sentiment_label': 'Neutral'}]"
20230529T090036,0.05632,Neutral,"[{'ticker': 'DUK', 'relevance_score': '0.109956', 'ticker_sentiment_score': '0.007953', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.109956', 'ticker_sentiment_score': '-0.035525', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PG', 'relevance_score': '0.073434', 'ticker_sentiment_score': '0.122006', 'ticker_sentiment_label': 'Neutral'}]"
20230528T131500,0.324069,Somewhat-Bullish,"[{'ticker': 'LLY', 'relevance_score': '0.147366', 'ticker_sentiment_score': '0.116756', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AZN', 'relevance_score': '0.422661', 'ticker_sentiment_score': '0.463723', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.147366', 'ticker_sentiment_score': '0.116756', 'ticker_sentiment_label': 'Neutral'}]"
20230528T093000,0.401515,Bullish,"[{'ticker': 'KVUE', 'relevance_score': '0.068698', 'ticker_sentiment_score': '0.06418', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TRMNF', 'relevance_score': '0.068698', 'ticker_sentiment_score': '0.341583', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'KO', 'relevance_score': '0.509589', 'ticker_sentiment_score': '0.501662', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'BRK-A', 'relevance_score': '0.068698', 'ticker_sentiment_score': '0.265652', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.204072', 'ticker_sentiment_score': '0.191842', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230526T191843,-0.07173,Neutral,"[{'ticker': 'JNJ', 'relevance_score': '0.061473', 'ticker_sentiment_score': '0.067003', 'ticker_sentiment_label': 'Neutral'}]"
20230526T182800,0.074302,Neutral,"[{'ticker': 'KVUE', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.257162', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GS', 'relevance_score': '0.194242', 'ticker_sentiment_score': '0.056127', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMI', 'relevance_score': '0.377142', 'ticker_sentiment_score': '0.083635', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JPM', 'relevance_score': '0.194242', 'ticker_sentiment_score': '0.056127', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.194242', 'ticker_sentiment_score': '0.058835', 'ticker_sentiment_label': 'Neutral'}]"
20230526T163200,0.089983,Neutral,"[{'ticker': 'LGND', 'relevance_score': '0.302429', 'ticker_sentiment_score': '0.111267', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.123526', 'ticker_sentiment_score': '-0.029656', 'ticker_sentiment_label': 'Neutral'}]"
20230526T160300,0.188724,Somewhat-Bullish,"[{'ticker': 'KVUE', 'relevance_score': '0.185306', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'RIVN', 'relevance_score': '0.185306', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CMI', 'relevance_score': '0.185306', 'ticker_sentiment_score': '0.208773', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.185306', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230526T135300,0.185698,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '0.499789', 'ticker_sentiment_score': '0.246654', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.314151', 'ticker_sentiment_score': '0.213914', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230526T135100,0.317122,Somewhat-Bullish,"[{'ticker': 'GEHC', 'relevance_score': '0.170475', 'ticker_sentiment_score': '0.15112', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ISRG', 'relevance_score': '0.384608', 'ticker_sentiment_score': '0.494259', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'INMD', 'relevance_score': '0.384608', 'ticker_sentiment_score': '0.291234', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'JNJ', 'relevance_score': '0.384608', 'ticker_sentiment_score': '0.31924', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
20230526T093000,0.095581,Neutral,"[{'ticker': 'KVUE', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMGN', 'relevance_score': '0.165409', 'ticker_sentiment_score': '0.019369', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.110717', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230526T063023,-0.084819,Neutral,"[{'ticker': 'KVUE', 'relevance_score': '0.146025', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.146025', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
20230526T051500,0.19203,Somewhat-Bullish,"[{'ticker': 'KAOCF', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SSDOF', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'REVRQ', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PG', 'relevance_score': '0.219312', 'ticker_sentiment_score': '0.101014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'UL', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'HENKY', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'III', 'relevance_score': '0.027763', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CL', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'LRLCF', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'COTY', 'relevance_score': '0.055492', 'ticker_sentiment_score': '0.096014', 'ticker_sentiment_label': 'Neutral'}]"
20230525T211809,0.130789,Neutral,"[{'ticker': 'MSFT', 'relevance_score': '0.178459', 'ticker_sentiment_score': '0.184661', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.178459', 'ticker_sentiment_score': '0.184661', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.178459', 'ticker_sentiment_score': '-0.065671', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.178459', 'ticker_sentiment_score': '0.184661', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'AAPL', 'relevance_score': '0.178459', 'ticker_sentiment_score': '0.184661', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'BAC', 'relevance_score': '0.178459', 'ticker_sentiment_score': '-0.075643', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CVX', 'relevance_score': '0.178459', 'ticker_sentiment_score': '-0.075643', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'JNJ', 'relevance_score': '0.178459', 'ticker_sentiment_score': '-0.075643', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'PFE', 'relevance_score': '0.178459', 'ticker_sentiment_score': '-0.075643', 'ticker_sentiment_label': 'Neutral'}]"
