Date,Open,High,Low,Close,Volume,overall_sentiment_score
2023-06-09,181.5,182.23,180.63,180.96,48899973.0,
2023-06-08,177.895,180.84,177.46,180.57,50214881.0,
2023-06-07,178.44,181.21,177.32,177.82,61944615.0,
2023-06-06,179.965,180.12,177.43,179.21,64848374.0,
2023-06-05,182.63,184.951,178.035,179.58,121946497.0,
2023-06-02,181.03,181.78,179.26,180.95,61996913.0,
2023-06-01,177.7,180.12,176.9306,180.09,68901809.0,
2023-05-31,177.325,179.35,176.76,177.25,99313268.0,
2023-05-30,176.96,178.99,176.57,177.3,55964401.0,
2023-05-26,173.32,175.77,173.11,175.43,54834975.0,
2023-05-25,172.41,173.895,171.69,172.99,56058258.0,
2023-05-24,171.09,172.4183,170.52,171.84,45143488.0,
2023-05-23,173.13,173.3794,171.275,171.56,50747263.0,
2023-05-22,173.98,174.71,173.45,174.2,43570932.0,
2023-05-19,176.39,176.39,174.94,175.16,55809475.0,
2023-05-18,173.0,175.24,172.58,175.05,65496657.0,
2023-05-17,171.71,172.925,170.4201,172.69,57951604.0,
2023-05-16,171.99,173.1383,171.7991,172.07,42110293.0,
2023-05-15,173.16,173.21,171.47,172.07,37266659.0,
2023-05-12,173.62,174.06,171.0,172.57,45533138.0,
2023-05-11,173.85,174.59,172.17,173.75,49514676.0,
,,,,,,0.314573
,,,,,,0.253635
,,,,,,0.157888
,,,,,,0.156267
,,,,,,0.081571
,,,,,,-0.0653
,,,,,,0.074174
,,,,,,0.072699
,,,,,,0.0
,,,,,,0.158913
,,,,,,0.274107
,,,,,,0.12482
,,,,,,0.092442
,,,,,,0.306817
,,,,,,0.173387
,,,,,,0.262285
,,,,,,0.263228
,,,,,,0.026365
,,,,,,0.227618
,,,,,,0.260214
,,,,,,0.064777
,,,,,,0.195412
,,,,,,0.285037
,,,,,,0.220669
,,,,,,0.136895
,,,,,,0.264858
,,,,,,0.416565
,,,,,,0.225268
,,,,,,0.188317
,,,,,,0.189774
,,,,,,0.063953
,,,,,,0.211249
,,,,,,0.170802
,,,,,,0.039014
,,,,,,-0.009694
,,,,,,0.047285
,,,,,,0.141732
,,,,,,0.092422
,,,,,,0.040803
,,,,,,-0.076777
,,,,,,0.317335
,,,,,,0.350563
,,,,,,0.187295
,,,,,,0.113848
,,,,,,0.262624
,,,,,,0.162745
,,,,,,0.119482
,,,,,,0.287351
,,,,,,-0.112403
,,,,,,0.195654
,,,,,,0.206709
,,,,,,0.168352
,,,,,,0.302189
,,,,,,0.251836
,,,,,,0.22974
,,,,,,0.0
,,,,,,0.126413
,,,,,,0.154366
,,,,,,0.10562
,,,,,,0.026571
,,,,,,0.112981
,,,,,,0.135055
,,,,,,0.18431
,,,,,,0.154122
,,,,,,0.14036
,,,,,,0.322402
,,,,,,0.216087
,,,,,,-0.01959
,,,,,,0.162276
,,,,,,0.236597
,,,,,,0.272298
,,,,,,0.029772
,,,,,,0.136129
,,,,,,0.293159
,,,,,,0.278069
,,,,,,0.304491
,,,,,,0.240107
,,,,,,0.172704
,,,,,,0.10859
,,,,,,0.236215
,,,,,,0.136129
,,,,,,0.128943
,,,,,,0.137392
,,,,,,0.125492
,,,,,,0.230191
,,,,,,0.311593
,,,,,,0.184108
,,,,,,0.103253
,,,,,,0.389554
,,,,,,0.264011
,,,,,,0.249842
,,,,,,0.137969
,,,,,,0.131162
,,,,,,0.138927
,,,,,,0.071454
,,,,,,0.142009
,,,,,,0.259213
,,,,,,-0.214546
,,,,,,0.074353
,,,,,,0.132281
,,,,,,0.342347
,,,,,,0.062352
,,,,,,0.295949
,,,,,,0.326226
,,,,,,0.235933
,,,,,,0.18802
,,,,,,-0.002429
,,,,,,0.138092
,,,,,,0.142883
,,,,,,-0.055769
,,,,,,0.222801
,,,,,,-0.007269
,,,,,,0.183974
,,,,,,0.185698
,,,,,,0.096621
,,,,,,0.180518
,,,,,,0.257059
,,,,,,0.130109
,,,,,,0.307071
,,,,,,0.29775
,,,,,,0.288499
,,,,,,0.040738
,,,,,,0.152495
,,,,,,0.175649
,,,,,,0.309561
,,,,,,0.134941
,,,,,,0.050538
,,,,,,0.130789
,,,,,,0.09998
,,,,,,0.210728
,,,,,,0.147447
,,,,,,0.175449
,,,,,,0.329164
,,,,,,-0.009687
,,,,,,0.151487
,,,,,,0.134073
,,,,,,-0.021674
,,,,,,-0.00977
,,,,,,0.161315
,,,,,,0.021385
,,,,,,0.164098
,,,,,,0.069812
,,,,,,0.272517
,,,,,,0.278136
,,,,,,0.11882
,,,,,,0.266147
,,,,,,0.036402
,,,,,,0.206071
,,,,,,0.21772
,,,,,,0.03173
,,,,,,-0.019146
,,,,,,0.30479
,,,,,,0.30398
,,,,,,0.266785
,,,,,,0.343774
,,,,,,0.275182
,,,,,,0.254239
,,,,,,0.108347
,,,,,,0.324759
,,,,,,0.322598
,,,,,,-0.140974
,,,,,,-0.067229
,,,,,,0.286988
,,,,,,0.161166
,,,,,,0.29557
,,,,,,0.161112
,,,,,,-0.097663
,,,,,,0.359993
,,,,,,0.254173
,,,,,,0.304599
,,,,,,-0.40148
,,,,,,0.091229
,,,,,,0.106894
,,,,,,0.0
,,,,,,0.119993
,,,,,,0.355888
,,,,,,0.270428
,,,,,,0.016883
,,,,,,-0.019396
,,,,,,0.323691
,,,,,,0.125016
,,,,,,0.189208
,,,,,,0.313362
,,,,,,0.197597
,,,,,,-0.016996
,,,,,,0.206051
,,,,,,0.092685
,,,,,,0.153989
,,,,,,-0.180733
,,,,,,-0.04221
,,,,,,0.156267
,,,,,,0.21578
,,,,,,0.104977
,,,,,,0.10542
,,,,,,0.20379
,,,,,,0.286754
,,,,,,0.27812
,,,,,,0.19574
,,,,,,0.261036
,,,,,,0.207564
,,,,,,0.283221
,,,,,,0.422621
,,,,,,0.247025
,,,,,,0.270884
,,,,,,0.195954
,,,,,,0.127802
,,,,,,0.089004
,,,,,,0.028648
,,,,,,-0.212084
,,,,,,0.118662
,,,,,,0.016993
,,,,,,-0.113277
,,,,,,0.186463
,,,,,,0.175419
,,,,,,0.129987
,,,,,,0.052262
,,,,,,0.196575
,,,,,,0.22841
,,,,,,0.221351
,,,,,,0.077816
,,,,,,0.090913
,,,,,,0.166307
,,,,,,0.213836
,,,,,,0.087062
,,,,,,-0.002426
,,,,,,0.180899
,,,,,,0.203523
,,,,,,0.378105
,,,,,,0.043463
,,,,,,0.250908
,,,,,,0.326552
,,,,,,0.164251
,,,,,,0.367057
,,,,,,0.076753
,,,,,,0.06361
,,,,,,0.092874
,,,,,,0.290335
,,,,,,0.227104
,,,,,,0.091715
,,,,,,0.272336
,,,,,,0.307897
,,,,,,0.176083
,,,,,,-0.112184
,,,,,,0.286139
,,,,,,0.167523
,,,,,,0.261649
,,,,,,0.228226
,,,,,,0.066372
,,,,,,0.187299
,,,,,,0.147655
,,,,,,0.177398
,,,,,,0.275004
,,,,,,0.163856
,,,,,,0.177262
,,,,,,-0.116054
,,,,,,0.002401
,,,,,,0.290199
,,,,,,0.449223
,,,,,,0.243169
,,,,,,0.166112
,,,,,,0.095621
,,,,,,0.122848
,,,,,,0.05563
,,,,,,0.128937
,,,,,,0.219128
,,,,,,0.160819
,,,,,,0.014487
,,,,,,0.007096
,,,,,,-0.115323
,,,,,,0.359164
,,,,,,0.240717
,,,,,,0.1855
,,,,,,0.301357
,,,,,,0.225449
,,,,,,0.219128
,,,,,,0.268236
,,,,,,0.029085
,,,,,,0.231076
,,,,,,0.100659
,,,,,,0.123971
,,,,,,0.17679
,,,,,,0.238734
,,,,,,0.176187
,,,,,,0.212441
,,,,,,0.155955
,,,,,,0.307897
,,,,,,0.266393
,,,,,,0.143424
,,,,,,-0.059872
,,,,,,0.270061
,,,,,,0.196047
,,,,,,0.132835
,,,,,,0.233185
,,,,,,0.38899
,,,,,,0.183488
,,,,,,0.237027
,,,,,,0.100716
,,,,,,0.041454
,,,,,,0.258715
,,,,,,0.135231
,,,,,,0.299498
,,,,,,0.15031
,,,,,,0.2148
,,,,,,0.226895
,,,,,,0.345158
,,,,,,0.257764
,,,,,,0.164043
,,,,,,0.178553
,,,,,,0.42737
,,,,,,0.426914
,,,,,,0.336785
,,,,,,0.193294
,,,,,,0.159859
,,,,,,0.055576
,,,,,,0.194615
,,,,,,0.198431
,,,,,,0.299553
,,,,,,0.103318
,,,,,,0.098287
,,,,,,0.417319
,,,,,,-0.050299
,,,,,,0.172369
,,,,,,0.0
,,,,,,0.102318
,,,,,,0.099046
,,,,,,0.127884
,,,,,,0.209632
,,,,,,0.297503
,,,,,,0.171725
,,,,,,0.30116
,,,,,,0.188092
,,,,,,0.007237
,,,,,,0.284923
,,,,,,-0.109072
,,,,,,0.087652
,,,,,,0.10686
,,,,,,0.264613
,,,,,,0.162192
,,,,,,0.196584
,,,,,,0.177095
,,,,,,0.187889
,,,,,,-0.234147
,,,,,,0.167147
,,,,,,0.345124
,,,,,,0.179554
,,,,,,-0.059848
,,,,,,0.050537
,,,,,,0.024
,,,,,,0.143447
,,,,,,-0.058456
,,,,,,0.097856
,,,,,,0.070302
,,,,,,0.200098
,,,,,,0.009694
,,,,,,0.021436
,,,,,,0.1013
,,,,,,0.111697
,,,,,,0.272801
,,,,,,0.147033
,,,,,,0.251855
,,,,,,0.041286
,,,,,,0.095213
,,,,,,0.15009
,,,,,,0.164747
,,,,,,0.314604
,,,,,,0.164795
,,,,,,0.042234
,,,,,,0.296446
,,,,,,0.22091
,,,,,,0.030808
,,,,,,0.355013
,,,,,,0.402996
,,,,,,0.05092
,,,,,,0.247479
,,,,,,0.170518
,,,,,,0.170518
,,,,,,0.004743
,,,,,,0.134397
,,,,,,0.170131
,,,,,,0.180397
,,,,,,0.065871
,,,,,,0.144478
,,,,,,0.274859
,,,,,,0.15265
,,,,,,0.058943
,,,,,,0.064239
,,,,,,0.199909
,,,,,,0.090571
,,,,,,0.277141
,,,,,,0.141201
,,,,,,0.109249
,,,,,,0.090571
,,,,,,0.249664
,,,,,,0.050063
,,,,,,0.297056
,,,,,,0.36762
,,,,,,0.095956
,,,,,,0.336129
,,,,,,0.02175
,,,,,,0.146432
,,,,,,0.240685
,,,,,,-0.038631
,,,,,,0.262368
,,,,,,0.176876
,,,,,,0.075222
,,,,,,0.271932
,,,,,,0.0
,,,,,,0.136042
,,,,,,0.309069
,,,,,,0.160819
,,,,,,0.035587
,,,,,,0.099461
,,,,,,-0.154904
,,,,,,0.23826
,,,,,,0.293766
,,,,,,0.334406
,,,,,,0.214093
,,,,,,0.171697
,,,,,,0.08437
,,,,,,0.098295
,,,,,,-0.096502
,,,,,,0.127997
,,,,,,0.121061
,,,,,,0.099757
,,,,,,0.026334
,,,,,,0.159705
,,,,,,0.168336
,,,,,,0.030249
,,,,,,0.145614
,,,,,,-0.169249
,,,,,,0.021669
,,,,,,0.174621
,,,,,,0.16758
,,,,,,0.357951
,,,,,,0.056892
,,,,,,0.153111
,,,,,,0.048371
,,,,,,0.326024
,,,,,,-0.014898
,,,,,,0.17111
,,,,,,0.293906
,,,,,,0.23147
,,,,,,-0.070288
,,,,,,0.093276
,,,,,,0.208236
,,,,,,0.173315
,,,,,,0.065197
,,,,,,0.140073
,,,,,,0.249607
,,,,,,0.349563
,,,,,,0.079454
,,,,,,-0.00243
,,,,,,0.194917
,,,,,,0.143109
,,,,,,0.126113
,,,,,,0.099404
,,,,,,0.060749
,,,,,,0.148552
,,,,,,0.147597
,,,,,,0.167562
,,,,,,0.252934
,,,,,,0.285392
,,,,,,-0.069908
,,,,,,0.089376
,,,,,,0.088585
,,,,,,0.353939
,,,,,,0.083886
,,,,,,0.239167
,,,,,,0.353531
,,,,,,0.190575
,,,,,,0.144447
,,,,,,0.016923
,,,,,,0.208229
,,,,,,0.309151
,,,,,,0.267375
,,,,,,0.13079
,,,,,,0.093003
,,,,,,0.173105
,,,,,,0.426484
,,,,,,0.022061
,,,,,,0.254247
,,,,,,-0.007317
,,,,,,0.258547
,,,,,,-0.211156
,,,,,,0.048179
,,,,,,0.167674
,,,,,,0.375932
,,,,,,0.197389
,,,,,,-0.250643
,,,,,,0.058725
,,,,,,0.231914
,,,,,,0.178887
,,,,,,-0.101029
,,,,,,0.15283
,,,,,,0.305726
,,,,,,-0.128771
,,,,,,0.38568
,,,,,,0.220503
,,,,,,0.214815
,,,,,,0.192542
,,,,,,0.313924
,,,,,,0.062033
,,,,,,0.239649
,,,,,,0.093323
,,,,,,0.194887
,,,,,,0.134653
,,,,,,0.196077
,,,,,,0.371471
,,,,,,0.02686
,,,,,,0.159589
,,,,,,0.140716
,,,,,,0.295384
,,,,,,0.340583
,,,,,,0.268885
,,,,,,0.132923
,,,,,,0.173011
,,,,,,0.304935
,,,,,,0.174565
,,,,,,0.282026
,,,,,,0.136443
,,,,,,0.104214
,,,,,,-0.031242
,,,,,,0.253654
,,,,,,-0.014788
,,,,,,0.277728
,,,,,,-0.101764
,,,,,,0.026783
,,,,,,-0.024343
,,,,,,0.205777
,,,,,,0.381479
,,,,,,0.150388
,,,,,,0.088986
,,,,,,0.110572
,,,,,,0.039261
,,,,,,0.081473
,,,,,,0.187847
,,,,,,0.296847
,,,,,,0.081361
,,,,,,0.070197
,,,,,,0.1856
,,,,,,0.160789
,,,,,,0.08255
,,,,,,-0.060546
,,,,,,0.256796
,,,,,,-0.141161
,,,,,,0.228015
,,,,,,0.103756
,,,,,,0.060702
,,,,,,-0.238879
,,,,,,0.050883
,,,,,,0.058588
,,,,,,-0.00243
,,,,,,0.0
,,,,,,0.180223
,,,,,,0.042952
,,,,,,-0.201617
,,,,,,0.067396
,,,,,,0.24082
,,,,,,0.227272
,,,,,,0.094889
,,,,,,0.072429
,,,,,,0.09059
,,,,,,0.227595
,,,,,,0.273297
,,,,,,0.188027
,,,,,,0.007371
,,,,,,0.137165
,,,,,,0.097319
,,,,,,0.094764
,,,,,,0.05957
,,,,,,-0.029453
,,,,,,0.299726
,,,,,,0.067771
,,,,,,0.422917
,,,,,,0.246301
,,,,,,0.19879
,,,,,,0.133699
,,,,,,0.149046
,,,,,,0.002432
,,,,,,0.261958
,,,,,,0.164075
,,,,,,0.073995
,,,,,,0.150594
,,,,,,0.311045
,,,,,,-0.019375
,,,,,,0.324782
,,,,,,0.043512
,,,,,,0.052947
,,,,,,0.007136
,,,,,,0.239399
,,,,,,-0.16745
,,,,,,-0.044223
,,,,,,0.139875
,,,,,,0.150224
,,,,,,0.153353
,,,,,,-0.096496
,,,,,,0.210465
,,,,,,0.167664
,,,,,,0.242625
,,,,,,-0.040219
,,,,,,0.405697
,,,,,,0.292653
,,,,,,0.101602
,,,,,,0.344866
,,,,,,0.135164
,,,,,,0.016849
,,,,,,-0.0048
,,,,,,0.068845
,,,,,,0.284989
,,,,,,0.279401
,,,,,,0.095713
,,,,,,0.079692
,,,,,,0.114332
,,,,,,0.147182
,,,,,,0.194672
,,,,,,0.296267
,,,,,,-0.095164
,,,,,,-0.072013
,,,,,,0.419488
,,,,,,0.181649
,,,,,,0.263847
,,,,,,0.241319
,,,,,,0.244647
,,,,,,-0.086127
,,,,,,0.350301
,,,,,,0.157644
,,,,,,0.064081
,,,,,,0.27744
,,,,,,0.078757
,,,,,,0.224752
,,,,,,0.066305
,,,,,,0.304203
,,,,,,0.138783
,,,,,,0.126205
,,,,,,0.178997
,,,,,,-0.234946
,,,,,,0.137319
,,,,,,0.286114
,,,,,,0.085187
,,,,,,0.139293
,,,,,,-0.09169
,,,,,,0.166431
,,,,,,0.120839
,,,,,,0.021724
,,,,,,0.181172
,,,,,,0.162221
,,,,,,0.154532
,,,,,,0.057684
,,,,,,-0.13223
,,,,,,0.187258
,,,,,,0.0
,,,,,,0.023916
,,,,,,0.323392
,,,,,,-0.162118
,,,,,,0.221176
,,,,,,0.10988
,,,,,,0.009589
,,,,,,-0.060265
,,,,,,0.06214
,,,,,,0.2022
,,,,,,-0.10527
,,,,,,0.07472
,,,,,,-0.093218
,,,,,,-0.076976
,,,,,,-0.113432
,,,,,,-0.043384
,,,,,,0.054787
,,,,,,0.031231
,,,,,,0.096631
